Willingness to Try Exotic Foods,Importance of Food Presentation,Value for Money in Meals,Preference for Gourmet Restaurants,Interest in Nutritional Content,Frequency of Eating Home-Cooked Meals,Desire for New Culinary Experiences,Preference for Organic or Diet-Specific Foods,Enjoyment of Traditional or Familiar Foods,Willingness to Spend on High-Quality Ingredients,personality,username
1,4,2,5,4,1.0,5,4,4,3,Fine Dining Connoisseur,TvXXiXJI0m
1,5,2,3,3,1.0,2,4,1,3,Fine Dining Connoisseur,lGoyOYSV8m
1,2,1,4,4,1.0,2,5,4,5,Fine Dining Connoisseur,kVXFKsdgtf
1,4,4,5,2,3.0,4,5,4,5,Fine Dining Connoisseur,HOkTbJRiBv
1,3,2,5,5,1.0,3,5,3,5,Fine Dining Connoisseur,DFlvNqSo0H
5,5,2,3,5,3.0,3,5,2,3,Fine Dining Connoisseur,N7Z23igX5t
2,5,3,5,5,1.0,5,4,1,3,Fine Dining Connoisseur,RpQyAJJzJN
2,5,1,5,4,1.0,2,5,2,5,Fine Dining Connoisseur,iv77GyoIFt
1,5,3,5,2,2.0,5,5,3,3,Fine Dining Connoisseur,nCRqjHe9Ez
4,3,1,5,2,1.0,2,2,3,3,Fine Dining Connoisseur,5gfPI85o7h
1,5,1,2,5,2.0,5,3,2,5,Fine Dining Connoisseur,tXhyektMEh
1,2,3,4,3,3.0,2,5,1,5,Fine Dining Connoisseur,wq6lEAIfuC
4,5,1,4,2,1.0,4,2,1,4,Fine Dining Connoisseur,TLbVgZ0WXX
5,5,1,5,4,3.0,3,5,3,3,Fine Dining Connoisseur,vGJ4P3mbk9
1,3,2,5,5,3.0,4,5,3,5,Fine Dining Connoisseur,yZ2J3uYsDy
4,5,3,3,2,3.0,2,4,2,5,Fine Dining Connoisseur,TpmGns5Wt7
4,5,1,3,5,2.0,1,5,4,5,Fine Dining Connoisseur,BVOx42qFpA
1,4,1,4,5,2.0,1,2,1,3,Fine Dining Connoisseur,ghUtaGnypP
1,5,1,5,5,1.0,2,2,3,4,Fine Dining Connoisseur,f1ARODu1Fl
1,4,1,5,3,1.0,2,5,3,4,Fine Dining Connoisseur,1rK7qEYS5G
4,5,3,2,5,1.0,5,4,2,5,Fine Dining Connoisseur,dFbcWlkiOs
5,4,2,5,5,1.0,2,5,1,5,Fine Dining Connoisseur,xyr2lkigMy
4,4,1,5,4,1.0,1,5,5,4,Fine Dining Connoisseur,MDlrcVCyNn
5,5,1,3,4,3.0,5,4,3,5,Fine Dining Connoisseur,yQ3pozCLPl
2,5,2,5,3,1.0,3,5,1,5,Fine Dining Connoisseur,oKpPPxfPnk
1,5,5,5,3,2.0,1,3,4,5,Fine Dining Connoisseur,PL3vjLWHAY
4,4,2,3,5,1.0,5,5,1,5,Fine Dining Connoisseur,qVdStVKj9x
1,3,1,5,5,2.0,4,5,1,5,Fine Dining Connoisseur,1aSu245EYh
5,5,3,5,3,4.0,2,5,3,5,Fine Dining Connoisseur,Ncf4z1Aasc
4,3,1,5,4,4.0,2,4,4,4,Fine Dining Connoisseur,UWNI36KagV
1,5,1,5,4,1.0,5,4,1,5,Fine Dining Connoisseur,4vXq1ua8bh
2,3,1,5,5,1.0,3,4,3,5,Fine Dining Connoisseur,SDKCaF4qir
1,5,1,5,5,3.0,2,2,1,3,Fine Dining Connoisseur,kdbfEtB0O7
1,5,2,5,5,3.0,2,5,2,2,Fine Dining Connoisseur,J1h01638Yt
1,5,1,3,5,4.0,4,5,4,5,Fine Dining Connoisseur,JPj5apTdiW
4,3,3,4,2,1.0,4,3,4,5,Fine Dining Connoisseur,cSfxUKQL04
5,5,1,3,3,1.0,2,4,2,4,Fine Dining Connoisseur,2z2sqzOZKx
1,5,4,5,2,3.0,5,3,1,5,Fine Dining Connoisseur,z1GljSggvC
1,3,3,5,5,1.0,2,3,1,5,Fine Dining Connoisseur,qIvAGqRleG
4,5,1,2,4,1.0,5,5,1,2,Fine Dining Connoisseur,xfzNIGPFcr
4,5,3,3,5,1.0,5,2,1,5,Fine Dining Connoisseur,uawEp8PBob
1,5,1,5,5,1.0,4,5,1,5,Fine Dining Connoisseur,M4U4HOEPwT
3,2,3,5,2,1.0,2,5,3,4,Fine Dining Connoisseur,3YXmdfjCLF
4,3,1,5,2,1.0,4,5,4,5,Fine Dining Connoisseur,AL1N9kHr9o
3,3,3,3,5,1.0,5,2,1,5,Fine Dining Connoisseur,8mMrk1ynzj
1,2,1,5,2,2.0,5,3,1,5,Fine Dining Connoisseur,hchaocxEvx
5,4,1,5,4,4.0,5,5,1,5,Fine Dining Connoisseur,U1AMDrDbCP
5,4,1,5,5,2.0,3,4,3,2,Fine Dining Connoisseur,Ze7xV1l3C1
1,3,1,5,5,1.0,2,4,2,3,Fine Dining Connoisseur,hMeAZ3XJzT
3,5,1,3,5,1.0,1,2,1,5,Fine Dining Connoisseur,fIWnDmNeWz
4,2,5,4,5,1.0,5,2,5,5,Fine Dining Connoisseur,a3UlLg8kGJ
1,5,3,5,2,2.0,5,3,1,5,Fine Dining Connoisseur,iplfmo6vvG
1,3,4,4,5,1.0,5,5,1,4,Fine Dining Connoisseur,xjDfUVY4rm
1,5,1,5,3,3.0,5,5,1,4,Fine Dining Connoisseur,KwJNUzlPZk
1,3,1,3,5,4.0,2,3,4,4,Fine Dining Connoisseur,0NLbqzNUTJ
5,4,2,5,4,2.0,5,5,2,3,Fine Dining Connoisseur,MHodvZpM85
2,2,1,5,5,4.0,5,5,2,5,Fine Dining Connoisseur,1lgwDDT9Qr
1,2,1,5,5,3.0,1,2,4,5,Fine Dining Connoisseur,rvQ9uDiLR9
5,3,1,3,3,1.0,2,3,2,5,Fine Dining Connoisseur,JfefdAMJeW
3,4,4,4,5,1.0,4,5,1,4,Fine Dining Connoisseur,pF33vUFbpC
4,5,5,2,4,5.0,5,5,3,3,Fine Dining Connoisseur,Dfa4HDZmfL
1,3,1,5,3,3.0,1,3,1,4,Fine Dining Connoisseur,F0ECIVCrfm
1,5,1,3,3,3.0,5,5,4,4,Fine Dining Connoisseur,BE7d3GkrmK
4,3,1,4,3,4.0,5,5,3,3,Fine Dining Connoisseur,5eU3RpVnO9
3,2,1,5,3,3.0,1,3,3,5,Fine Dining Connoisseur,ff1mUHvxjx
1,3,1,5,3,3.0,1,2,1,4,Fine Dining Connoisseur,RBXSldTY67
1,5,4,5,5,1.0,2,3,4,5,Fine Dining Connoisseur,dK19nbUDL3
4,5,2,3,3,3.0,2,3,3,5,Fine Dining Connoisseur,JSR7p4T27G
3,3,1,5,2,5.0,2,3,4,4,Fine Dining Connoisseur,owGBqU0dMp
4,5,3,5,5,1.0,3,3,3,2,Fine Dining Connoisseur,OkgAojLTVr
1,5,1,5,5,4.0,2,3,1,5,Fine Dining Connoisseur,thm7SLozwK
4,5,2,4,3,3.0,4,5,4,5,Fine Dining Connoisseur,YYmZQBH5I2
5,4,1,2,5,2.0,3,3,1,2,Fine Dining Connoisseur,3GaJbgL2lR
1,5,1,5,5,1.0,1,5,1,5,Fine Dining Connoisseur,SEj3wTyvnI
4,3,1,5,5,3.0,5,2,1,4,Fine Dining Connoisseur,G5SIGbxaNz
1,3,4,5,3,1.0,1,5,3,4,Fine Dining Connoisseur,HpB9mgRUNQ
4,5,1,5,5,1.0,2,5,1,5,Fine Dining Connoisseur,Y94SE49kmp
4,3,1,5,2,5.0,2,5,3,4,Fine Dining Connoisseur,EfHRJsGkik
1,3,1,3,5,4.0,2,4,3,5,Fine Dining Connoisseur,hNUj2YCOIq
1,5,4,5,5,1.0,3,4,4,4,Fine Dining Connoisseur,aoJnoUy0Gk
1,5,3,5,5,1.0,2,2,4,4,Fine Dining Connoisseur,yNtl3l3WZR
3,5,1,4,2,4.0,5,3,1,5,Fine Dining Connoisseur,gh6xwQdzVy
4,5,4,5,3,1.0,1,3,1,4,Fine Dining Connoisseur,bUueYmCI26
3,5,3,3,2,1.0,2,2,1,3,Fine Dining Connoisseur,LDCyYp4oWY
1,2,4,5,3,4.0,2,3,1,4,Fine Dining Connoisseur,CIfr4UzMXq
1,5,1,5,3,3.0,2,3,1,5,Fine Dining Connoisseur,itzbRAjSzq
4,5,1,3,5,1.0,5,3,3,5,Fine Dining Connoisseur,qAVXwTAR3p
3,5,4,3,2,2.0,2,5,3,3,Fine Dining Connoisseur,30rT5HtESx
2,5,2,5,4,4.0,2,5,1,5,Fine Dining Connoisseur,Ec8fEl2Yyi
4,4,4,4,5,1.0,5,5,4,3,Fine Dining Connoisseur,YQeLV7X9xF
5,5,5,5,5,2.0,5,3,1,5,Fine Dining Connoisseur,6AuA2LyIsa
1,3,4,5,3,2.0,5,3,2,4,Fine Dining Connoisseur,Bc0xZaMDeq
2,4,1,5,5,1.0,5,5,1,2,Fine Dining Connoisseur,6Il6uR8gn6
3,4,1,5,5,1.0,5,2,4,4,Fine Dining Connoisseur,VihDFFCmDu
3,4,1,5,5,1.0,1,3,5,5,Fine Dining Connoisseur,fapCCo5rMO
1,3,4,3,3,2.0,5,5,3,5,Fine Dining Connoisseur,jCVEBFA1SB
1,5,4,4,5,3.0,5,5,1,2,Fine Dining Connoisseur,OYjBXgXTBj
1,5,1,3,2,2.0,2,3,3,4,Fine Dining Connoisseur,OHLTNY7C4E
2,4,2,3,4,1.0,5,5,1,5,Fine Dining Connoisseur,ZkAhhX2iAQ
3,5,1,5,5,1.0,1,5,4,5,Fine Dining Connoisseur,gaENoQEyJM
5,5,1,4,5,3.0,2,5,3,5,Fine Dining Connoisseur,2BHUAgY27w
1,3,4,5,2,1.0,3,3,4,5,Fine Dining Connoisseur,BRQefXv88Q
1,5,1,5,5,1.0,4,5,5,4,Fine Dining Connoisseur,6sDwhz2DYW
5,3,1,5,3,2.0,5,3,1,4,Fine Dining Connoisseur,erQLOoPfTD
4,3,4,5,5,1.0,5,3,1,5,Fine Dining Connoisseur,qA7EdAsqQk
1,5,1,3,3,1.0,5,2,5,5,Fine Dining Connoisseur,RWWqQAHGpe
4,2,4,5,3,2.0,4,5,1,4,Fine Dining Connoisseur,taBkMVoyCf
2,5,1,3,4,4.0,5,4,2,5,Fine Dining Connoisseur,Q81dD8unem
4,3,4,3,5,4.0,4,3,1,3,Fine Dining Connoisseur,5Si06URj2Y
5,3,1,5,5,1.0,5,4,5,3,Fine Dining Connoisseur,PSd0hKriYn
3,4,1,5,3,1.0,2,2,4,3,Fine Dining Connoisseur,oXazjkVhsw
3,3,4,4,2,3.0,1,3,4,4,Fine Dining Connoisseur,ZxFq5p4nAd
5,5,5,3,4,1.0,2,2,1,4,Fine Dining Connoisseur,3KCnrSDv22
4,5,1,2,4,3.0,3,4,3,3,Fine Dining Connoisseur,DYGndBZlkG
2,3,1,2,3,3.0,2,3,2,3,Fine Dining Connoisseur,9d5OhOtkOn
5,5,1,5,5,2.0,5,5,2,2,Fine Dining Connoisseur,YxQrhxd1I7
4,3,3,5,3,3.0,4,5,1,3,Fine Dining Connoisseur,Mm6kRNmJBR
4,3,3,5,4,1.0,3,5,1,5,Fine Dining Connoisseur,vgoOlvBsxv
1,2,4,5,4,3.0,4,5,4,5,Fine Dining Connoisseur,ykr1NgxeDw
1,5,1,3,5,2.0,2,2,1,5,Fine Dining Connoisseur,Dd2nOkxd7t
4,5,3,5,3,5.0,2,2,3,4,Fine Dining Connoisseur,GUQ5BnPAN0
4,5,1,3,5,3.0,5,5,1,2,Fine Dining Connoisseur,oL0CisF26B
4,3,1,5,4,5.0,5,5,1,5,Fine Dining Connoisseur,agOYfiwLZJ
2,4,1,5,5,3.0,3,5,3,5,Fine Dining Connoisseur,5tVBydI8Vu
2,3,1,2,5,1.0,5,3,3,4,Fine Dining Connoisseur,q433mxzR2Z
1,4,5,3,5,1.0,5,5,1,5,Fine Dining Connoisseur,6QQV5dUqFZ
4,5,4,3,2,3.0,5,5,3,3,Fine Dining Connoisseur,PQGL1xt33f
5,5,2,3,3,4.0,3,5,1,5,Fine Dining Connoisseur,vTwyWI88xT
2,5,1,5,5,1.0,5,5,4,5,Fine Dining Connoisseur,3HIbaQUyJf
1,4,2,2,4,1.0,5,3,3,4,Fine Dining Connoisseur,foZ5fITCWM
1,5,2,5,5,1.0,5,3,2,5,Fine Dining Connoisseur,dQjQGY1VOg
1,5,4,3,2,2.0,4,5,3,4,Fine Dining Connoisseur,lc6ZaIIuiY
1,5,2,5,3,1.0,5,5,2,5,Fine Dining Connoisseur,k9pitWJjN6
4,3,3,5,3,1.0,5,2,1,5,Fine Dining Connoisseur,HsIoyTrVge
3,2,4,3,5,1.0,2,3,1,5,Fine Dining Connoisseur,Xe2TQqH4O6
1,3,1,5,5,1.0,1,5,3,5,Fine Dining Connoisseur,ZHrh5zWS01
2,3,2,5,2,1.0,5,5,1,2,Fine Dining Connoisseur,0aKhcBgUi6
1,5,1,5,5,3.0,1,2,2,3,Fine Dining Connoisseur,74eCX5BZvS
4,5,1,4,2,3.0,4,5,1,3,Fine Dining Connoisseur,XdI3hk0BRo
5,4,1,5,2,3.0,3,3,1,5,Fine Dining Connoisseur,PIGqF6NUWn
4,4,3,5,3,1.0,5,3,5,5,Fine Dining Connoisseur,ukgfHYTQ3W
4,5,1,5,5,1.0,4,5,1,4,Fine Dining Connoisseur,M36GiJUNMF
1,4,3,5,5,4.0,5,2,2,3,Fine Dining Connoisseur,TZuzEc9BLZ
1,5,1,5,4,3.0,5,5,3,4,Fine Dining Connoisseur,Z9EmA9t373
5,3,1,5,5,1.0,2,5,2,5,Fine Dining Connoisseur,7GWwRDCtOF
3,4,2,3,3,1.0,5,3,3,5,Fine Dining Connoisseur,11WbRnhe2O
4,5,3,5,5,4.0,4,3,4,4,Fine Dining Connoisseur,HrtnnG32Fo
1,3,3,4,3,3.0,2,5,1,5,Fine Dining Connoisseur,9z7b2laQfY
1,5,3,4,5,2.0,5,5,1,5,Fine Dining Connoisseur,JjnOJXqbGQ
1,5,4,5,5,1.0,2,3,3,3,Fine Dining Connoisseur,4PVx4ANMQl
2,5,2,5,5,1.0,3,5,1,2,Fine Dining Connoisseur,H7S74jzUXW
4,4,1,3,4,1.0,2,5,1,3,Fine Dining Connoisseur,pNoa4t3ODL
3,2,2,4,5,2.0,2,5,3,4,Fine Dining Connoisseur,RbdizAzW6V
5,5,1,2,4,1.0,5,3,5,5,Fine Dining Connoisseur,QZ3MCRQvik
4,3,3,5,5,1.0,5,5,1,5,Fine Dining Connoisseur,fwV15AeK5A
5,5,1,3,5,1.0,5,5,1,3,Fine Dining Connoisseur,xGwMU3HG4J
5,5,2,4,3,4.0,2,5,3,5,Fine Dining Connoisseur,clFRYpKFzg
4,5,3,4,5,1.0,2,5,3,5,Fine Dining Connoisseur,7I6LMU9T3U
4,2,4,4,5,3.0,5,5,1,5,Fine Dining Connoisseur,Wki5Xg9d8S
1,5,1,5,2,2.0,1,5,1,4,Fine Dining Connoisseur,Hp8Y4uQ40S
1,3,1,3,3,1.0,5,3,1,5,Fine Dining Connoisseur,Hmib3t0Vlw
2,4,1,5,5,1.0,3,5,2,3,Fine Dining Connoisseur,Hd7QP1bI7w
1,5,4,3,2,1.0,4,5,2,5,Fine Dining Connoisseur,ygWT3o7sXk
1,5,4,5,5,2.0,5,5,1,4,Fine Dining Connoisseur,6vC0TDmqRa
1,5,1,3,3,1.0,1,3,1,3,Fine Dining Connoisseur,8i9nakV9FO
5,4,2,3,3,4.0,5,5,5,5,Fine Dining Connoisseur,38rp6mL2oE
5,5,3,5,4,1.0,5,3,1,4,Fine Dining Connoisseur,fGnhVhEXTK
3,5,1,5,3,1.0,5,3,4,3,Fine Dining Connoisseur,zh4BnO0g63
5,5,3,5,5,3.0,3,4,1,2,Fine Dining Connoisseur,37RmHY49nO
3,4,3,3,2,3.0,1,5,4,4,Fine Dining Connoisseur,xkQLJlE1fW
3,3,4,5,5,1.0,4,3,4,5,Fine Dining Connoisseur,qFAKlR0EqI
4,3,4,3,5,1.0,5,3,4,5,Fine Dining Connoisseur,QtNj1BnT13
3,5,1,4,5,1.0,5,3,3,5,Fine Dining Connoisseur,VgEBrUPxLB
1,5,3,5,5,1.0,2,5,3,4,Fine Dining Connoisseur,M1FYNoX4VG
4,5,1,5,2,1.0,1,2,4,4,Fine Dining Connoisseur,zkgFHTwCxm
4,5,1,2,4,4.0,2,4,2,5,Fine Dining Connoisseur,cYF1s6c0uB
1,5,1,3,3,4.0,5,4,2,2,Fine Dining Connoisseur,VC9DyKIxFm
4,5,1,3,5,3.0,1,5,1,3,Fine Dining Connoisseur,zwmzrPdZG8
1,5,1,5,5,3.0,1,3,1,5,Fine Dining Connoisseur,pNlH49rQWV
2,5,2,5,3,4.0,5,5,5,5,Fine Dining Connoisseur,Wu4nLmyarW
1,2,1,3,5,1.0,2,3,1,4,Fine Dining Connoisseur,Zz5DSv9qu1
4,5,4,5,3,3.0,5,5,1,3,Fine Dining Connoisseur,fbhy00qHPH
4,5,3,5,3,3.0,2,2,4,3,Fine Dining Connoisseur,6vUElhFTLl
1,5,1,5,5,3.0,5,5,3,3,Fine Dining Connoisseur,TrRyxBbDPC
4,4,1,3,5,3.0,3,4,1,4,Fine Dining Connoisseur,YOsbEinhT4
5,4,1,5,5,3.0,2,5,3,3,Fine Dining Connoisseur,ALzWzKSdwr
5,4,1,5,5,3.0,2,5,1,5,Fine Dining Connoisseur,3KjaE86FiS
4,5,4,5,5,2.0,2,5,1,5,Fine Dining Connoisseur,bz1ppLWPho
1,5,1,5,5,3.0,5,5,4,3,Fine Dining Connoisseur,fAPso2WZFq
3,3,3,4,5,5.0,1,2,1,5,Fine Dining Connoisseur,t3zKaGaLJC
2,5,3,4,5,3.0,5,3,2,2,Fine Dining Connoisseur,nyWVnpuKgX
1,5,4,4,5,1.0,4,5,4,5,Fine Dining Connoisseur,7WYUPgczOb
3,5,4,5,5,1.0,4,3,1,5,Fine Dining Connoisseur,WoFB86f3SQ
4,5,2,5,5,3.0,4,5,4,5,Fine Dining Connoisseur,KnwJdi2Jho
4,3,4,3,2,2.0,5,5,1,4,Fine Dining Connoisseur,a4TgECM3XF
5,4,1,5,2,1.0,5,5,1,5,Fine Dining Connoisseur,gcMDhx2dii
5,5,1,3,3,4.0,2,3,3,5,Fine Dining Connoisseur,26HEWInP2B
2,3,1,3,3,1.0,3,4,2,5,Fine Dining Connoisseur,MeH59xSNqh
2,5,1,4,4,5.0,2,5,2,2,Fine Dining Connoisseur,ggjN49CbRC
4,5,1,5,4,5.0,5,5,2,2,Fine Dining Connoisseur,ySwfmaGO4S
4,4,1,3,5,1.0,4,5,1,4,Fine Dining Connoisseur,MnHFfSGPMz
5,5,1,5,4,1.0,5,4,2,2,Fine Dining Connoisseur,65Yck74vA0
3,5,1,5,5,5.0,1,5,4,3,Fine Dining Connoisseur,GMmVcT5WNF
1,4,1,5,2,3.0,5,5,1,2,Fine Dining Connoisseur,FeVqOx8N3q
1,5,1,3,3,3.0,4,3,1,5,Fine Dining Connoisseur,fuCYQ99REB
1,3,1,4,5,1.0,4,5,3,5,Fine Dining Connoisseur,Z2lAkG3Mg8
4,5,1,5,5,4.0,2,4,1,5,Fine Dining Connoisseur,Jy3KlU33nO
1,3,1,5,5,3.0,5,2,4,5,Fine Dining Connoisseur,VwEKJHzDGY
4,5,1,2,5,1.0,5,2,4,3,Fine Dining Connoisseur,V7sgKIke7D
3,4,1,4,5,5.0,5,5,1,3,Fine Dining Connoisseur,eQPw2Msdwz
4,5,1,3,3,4.0,5,3,1,3,Fine Dining Connoisseur,WkY2D2rWYJ
5,5,3,5,5,3.0,5,5,1,5,Fine Dining Connoisseur,3hJ54Mjiei
5,5,1,3,5,4.0,5,5,1,3,Fine Dining Connoisseur,e9EqYBlkWy
1,5,1,3,3,2.0,5,3,1,5,Fine Dining Connoisseur,syvKss7yyq
1,4,1,5,5,2.0,5,5,1,5,Fine Dining Connoisseur,4KLQIvX0uh
1,2,1,3,5,3.0,1,5,4,5,Fine Dining Connoisseur,4jdifD9HGF
5,3,1,3,3,3.0,5,3,3,5,Fine Dining Connoisseur,kWfADlsbq0
4,5,4,3,5,1.0,4,2,3,4,Fine Dining Connoisseur,HYb5DtLfrd
3,5,4,5,2,3.0,2,5,2,5,Fine Dining Connoisseur,Z972FArB1L
3,2,4,3,2,1.0,5,3,1,3,Fine Dining Connoisseur,fBAKg7LJEo
4,5,2,3,5,1.0,2,5,1,3,Fine Dining Connoisseur,fa6HXEoGvU
4,5,1,5,3,2.0,5,2,3,5,Fine Dining Connoisseur,yOJccoebVC
2,3,1,3,3,1.0,2,3,4,4,Fine Dining Connoisseur,gk3320VFmg
3,5,5,5,5,1.0,4,5,1,4,Fine Dining Connoisseur,RX4QkyC4mr
2,5,1,5,3,3.0,5,4,3,4,Fine Dining Connoisseur,DyIjCjuKf6
4,5,1,5,5,1.0,1,3,3,5,Fine Dining Connoisseur,DrYk4QYbXj
1,4,3,4,5,1.0,5,5,3,5,Fine Dining Connoisseur,ICR2LmSiAV
5,4,3,4,3,3.0,5,5,1,4,Fine Dining Connoisseur,0cLLoqPqhf
1,4,3,4,5,4.0,5,2,1,5,Fine Dining Connoisseur,tOlQaIsM86
2,4,1,5,5,3.0,5,3,1,2,Fine Dining Connoisseur,FBA2zzcz9G
1,5,2,4,5,3.0,3,5,1,2,Fine Dining Connoisseur,hefhVE1Klg
1,3,1,3,2,1.0,2,5,1,5,Fine Dining Connoisseur,JcjYPj32ao
5,4,3,5,5,3.0,5,4,1,2,Fine Dining Connoisseur,dcIgjFEJLV
1,5,2,4,5,1.0,4,5,3,5,Fine Dining Connoisseur,zlWrNqf05u
4,3,1,5,3,1.0,2,3,1,3,Fine Dining Connoisseur,PVnaePn0WQ
4,4,1,5,2,1.0,5,3,3,5,Fine Dining Connoisseur,1jpqiXFIRC
3,3,1,5,2,3.0,1,5,3,5,Fine Dining Connoisseur,RXDk0faVOU
3,5,3,4,2,3.0,2,2,3,3,Fine Dining Connoisseur,7LJfj6uEx0
4,5,5,3,5,1.0,4,5,3,3,Fine Dining Connoisseur,FeOOdmVC33
1,3,1,5,5,4.0,2,2,3,4,Fine Dining Connoisseur,W2PdBQ2OEk
4,5,1,5,4,1.0,3,5,1,3,Fine Dining Connoisseur,y2mOOnKVB1
1,3,2,5,3,3.0,2,5,1,5,Fine Dining Connoisseur,0GmLwrtg7U
1,5,1,3,5,4.0,2,5,5,5,Fine Dining Connoisseur,NN8ts5lmLY
5,5,2,5,5,1.0,5,5,2,5,Fine Dining Connoisseur,4UXGITsaEM
5,5,3,5,5,3.0,5,5,2,2,Fine Dining Connoisseur,UyMj1yHf2m
2,5,1,3,5,3.0,5,3,3,2,Fine Dining Connoisseur,6KfOYdJMnP
4,5,2,5,3,1.0,1,5,1,4,Fine Dining Connoisseur,LowV8HxAmI
4,5,2,3,5,3.0,5,4,3,4,Fine Dining Connoisseur,I3vbme74aN
2,5,2,5,2,4.0,2,3,4,5,Fine Dining Connoisseur,zBg8F85dX5
4,5,2,2,4,4.0,5,4,2,3,Fine Dining Connoisseur,AKnboyncZX
4,5,1,3,5,4.0,5,5,5,5,Fine Dining Connoisseur,cw0SFYevO6
1,2,2,5,5,1.0,1,2,1,5,Fine Dining Connoisseur,YaEJWWmKbf
1,5,1,5,5,4.0,1,2,1,5,Fine Dining Connoisseur,EBXKKETNmf
4,5,3,5,2,1.0,1,2,1,5,Fine Dining Connoisseur,tWXdz2Qsy2
5,4,2,5,5,1.0,3,5,3,3,Fine Dining Connoisseur,SJ2Os6ERPX
2,5,2,4,2,1.0,5,4,5,3,Fine Dining Connoisseur,iXI6OI3cTb
3,5,3,5,5,2.0,4,2,3,5,Fine Dining Connoisseur,vg5AwxOeAl
1,5,1,3,3,1.0,5,5,5,5,Fine Dining Connoisseur,4B0HIopGGr
1,5,3,5,5,3.0,2,3,4,5,Fine Dining Connoisseur,j5beP1LG5O
1,5,1,3,5,4.0,5,5,3,2,Fine Dining Connoisseur,lstF5Tag7V
2,3,1,4,5,3.0,5,4,1,3,Fine Dining Connoisseur,JoTXqfwf3Z
4,5,4,3,5,3.0,1,5,3,4,Fine Dining Connoisseur,Ijh9SPy31c
4,5,5,4,5,2.0,1,5,3,5,Fine Dining Connoisseur,UrizLjZDRw
3,2,3,5,5,1.0,4,5,1,5,Fine Dining Connoisseur,oXLOjOKnWz
1,2,3,4,2,3.0,2,5,3,3,Fine Dining Connoisseur,UPA3dqsqpE
3,5,1,3,5,1.0,4,3,1,5,Fine Dining Connoisseur,Ba28qGRftT
3,5,1,3,5,3.0,4,5,4,4,Fine Dining Connoisseur,bHSCVSkyXe
4,3,5,3,3,4.0,3,5,4,3,Fine Dining Connoisseur,iUSQIpINZY
1,5,3,5,5,1.0,1,5,4,2,Fine Dining Connoisseur,tFn6bZfnpW
3,3,1,3,5,1.0,2,5,1,5,Fine Dining Connoisseur,VOX2QlJqwV
2,5,3,5,5,1.0,5,5,1,4,Fine Dining Connoisseur,nziPcWEVGj
1,3,2,2,5,1.0,2,5,1,5,Fine Dining Connoisseur,2ZVAw6GheD
1,5,3,5,2,4.0,5,2,1,5,Fine Dining Connoisseur,ciPrrJ5U23
2,2,2,3,3,3.0,5,5,2,4,Fine Dining Connoisseur,prEtsrxxVw
1,3,2,5,3,5.0,2,4,1,3,Fine Dining Connoisseur,0y5Fz1bXMm
1,5,1,5,3,1.0,1,5,1,4,Fine Dining Connoisseur,ZjqPAE2NTs
1,3,3,3,5,2.0,2,5,1,3,Fine Dining Connoisseur,CsGuLQuCXe
4,3,1,5,3,3.0,5,4,5,3,Fine Dining Connoisseur,0fn6QQtiK1
3,3,4,4,3,1.0,2,3,3,5,Fine Dining Connoisseur,cJEBeOqOlW
2,5,1,5,4,2.0,2,3,4,2,Fine Dining Connoisseur,xDoPKAkTkN
5,5,4,4,5,1.0,3,3,1,5,Fine Dining Connoisseur,s7VWjHeO3c
4,5,2,3,5,3.0,2,3,3,5,Fine Dining Connoisseur,fz8tcL3N5X
2,5,2,3,5,3.0,3,5,2,5,Fine Dining Connoisseur,3YZlP45v3u
4,5,1,5,2,4.0,5,4,3,3,Fine Dining Connoisseur,hBBSvr2FOb
1,5,1,3,5,3.0,5,5,3,3,Fine Dining Connoisseur,BxARKUxGm4
4,5,1,3,5,4.0,4,2,4,5,Fine Dining Connoisseur,7plznarmNZ
4,5,1,5,5,2.0,5,2,3,3,Fine Dining Connoisseur,TJel5fiLbn
5,4,1,3,5,3.0,3,3,2,3,Fine Dining Connoisseur,Gbxz2DaLyK
2,4,1,5,5,1.0,5,3,3,5,Fine Dining Connoisseur,MPQ31M6Tzl
1,5,1,4,3,1.0,5,5,1,4,Fine Dining Connoisseur,wtezmFnVod
1,5,5,3,5,1.0,4,5,4,5,Fine Dining Connoisseur,SAd5H6YuOo
4,5,1,5,5,1.0,1,2,1,3,Fine Dining Connoisseur,XPWEfzCA1G
1,2,1,5,5,3.0,5,3,1,3,Fine Dining Connoisseur,LXyn08VNed
4,5,4,5,3,1.0,4,3,4,4,Fine Dining Connoisseur,RuGcmpucJa
1,5,1,5,5,1.0,3,4,1,3,Fine Dining Connoisseur,dXLzMvlGSG
1,3,3,4,2,1.0,1,5,1,5,Fine Dining Connoisseur,31r21y8JlK
4,4,1,5,3,1.0,5,5,2,5,Fine Dining Connoisseur,MoipSh7fAS
2,5,1,5,3,1.0,3,4,1,4,Fine Dining Connoisseur,A1ERwBBL1l
1,3,2,3,4,1.0,5,5,1,4,Fine Dining Connoisseur,sIDIoxQou1
4,3,4,3,5,1.0,5,2,1,4,Fine Dining Connoisseur,AUPhaoW6K6
1,5,3,3,2,2.0,1,5,1,5,Fine Dining Connoisseur,rumHzPijDj
1,4,3,5,5,1.0,5,5,4,5,Fine Dining Connoisseur,O8htjlhmWw
2,4,1,5,3,3.0,5,5,3,5,Fine Dining Connoisseur,0F48c8JLxs
